       Step     Time          Energy         fmax
GPMin:   56 20:53:54       -7.012056        0.1139
GPMin:   57 20:54:01       -7.045941        0.1124
GPMin:   58 20:54:07       -7.078022        0.1072
GPMin:   59 20:54:13       -7.106216        0.1018
GPMin:   60 20:54:20       -7.129716        0.1109
GPMin:   61 20:54:26       -7.149943        0.1195
GPMin:   62 20:54:32       -7.169676        0.1252
GPMin:   63 20:54:37       -7.191624        0.1289
GPMin:   64 20:54:43       -7.213009        0.1194
GPMin:   65 20:54:50       -7.232386        0.1015
GPMin:   66 20:54:56       -7.247386        0.0728
GPMin:   67 20:55:02       -7.257785        0.0630
GPMin:   68 20:55:09       -7.267068        0.0643
GPMin:   69 20:55:15       -7.271174        0.0520
GPMin:   70 20:55:21       -7.275887        0.0376
GPMin:   71 20:55:25       -7.276390        0.0352
GPMin:   72 20:55:31       -7.278400        0.0251
GPMin:   73 20:55:35       -7.278614        0.0233
GPMin:   74 20:55:41       -7.279743        0.0138
       Step     Time          Energy         fmax
GPMin:    0 20:55:50       -5.123460        1.6490
GPMin:    1 20:55:58       -6.280464        0.8787
GPMin:    2 20:56:05       -6.791663        0.4868
GPMin:    3 20:56:12       -7.025388        0.2688
GPMin:    4 20:56:19       -7.107291        0.1339
GPMin:    5 20:56:25       -7.122398        0.0705
GPMin:    6 20:56:30       -7.125003        0.0530
GPMin:    7 20:56:37       -7.133336        0.0404
GPMin:    8 20:56:42       -7.136971        0.0378
GPMin:    9 20:56:47       -7.138482        0.0383
GPMin:   10 20:56:53       -7.140528        0.0227
GPMin:   11 20:56:58       -7.140920        0.0196
       Step     Time          Energy         fmax
GPMin:    0 20:57:08       -4.945497        1.4777
GPMin:    1 20:57:16       -6.041159        0.7846
GPMin:    2 20:57:23       -6.518908        0.4160
GPMin:    3 20:57:29       -6.736552        0.2386
GPMin:    4 20:57:36       -6.814716        0.1506
GPMin:    5 20:57:43       -6.832200        0.0999
GPMin:    6 20:57:49       -6.837682        0.0835
GPMin:    7 20:57:55       -6.856341        0.0876
GPMin:    8 20:58:01       -6.874755        0.0987
GPMin:    9 20:58:07       -6.893449        0.1152
GPMin:   10 20:58:13       -6.915140        0.1256
GPMin:   11 20:58:19       -6.943594        0.1280
GPMin:   12 20:58:26       -6.976364        0.1205
GPMin:   13 20:58:32       -7.016287        0.1125
GPMin:   14 20:58:38       -7.057023        0.1315
GPMin:   15 20:58:44       -7.103916        0.1414
GPMin:   16 20:58:50       -7.147373        0.1298
GPMin:   17 20:58:56       -7.183319        0.0963
GPMin:   18 20:59:03       -7.203880        0.0562
GPMin:   19 20:59:08       -7.210498        0.0516
GPMin:   20 20:59:14       -7.212304        0.0413
GPMin:   21 20:59:19       -7.214409        0.0286
GPMin:   22 20:59:24       -7.214952        0.0157
       Step     Time          Energy         fmax
GPMin:    0 20:59:35       -4.950339        1.4732
GPMin:    1 20:59:42       -6.044272        0.7814
GPMin:    2 20:59:49       -6.521172        0.4144
GPMin:    3 20:59:56       -6.737965        0.2331
GPMin:    4 21:00:03       -6.814826        0.1466
GPMin:    5 21:00:09       -6.831714        0.1003
GPMin:    6 21:00:16       -6.837201        0.0837
GPMin:    7 21:00:22       -6.855029        0.0856
GPMin:    8 21:00:27       -6.872725        0.0963
GPMin:    9 21:00:33       -6.890271        0.1129
GPMin:   10 21:00:39       -6.910640        0.1230
GPMin:   11 21:00:45       -6.937761        0.1267
GPMin:   12 21:00:51       -6.969303        0.1196
